test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case182.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case98.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case98.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case73.txt,3,10,IP,42.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case73.txt,3,10,GA,42,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case67.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case67.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case42.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case42.txt,3,10,GA,29,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case56.txt,3,10,IP,24.99999300454339,2.34
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case56.txt,3,10,GA,25,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case81.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case81.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case95.txt,3,10,IP,19.0,0.03
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case95.txt,3,10,GA,19,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case164.txt,3,10,IP,27.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case164.txt,3,10,GA,27,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case170.txt,3,10,IP,24.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case170.txt,3,10,GA,24,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case158.txt,3,10,IP,25.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case158.txt,3,10,GA,25,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case159.txt,3,10,IP,20.0,0.07
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case159.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case171.txt,3,10,IP,19.0,0.03
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case171.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case165.txt,3,10,IP,17.9999968174893,12.97
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case165.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case94.txt,3,10,IP,23.0,0.08
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case94.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case80.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case80.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case57.txt,3,10,IP,18.0,3.3
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case57.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case43.txt,3,10,IP,27.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case43.txt,3,10,GA,27,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case69.txt,3,10,IP,32.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case69.txt,3,10,GA,32,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case55.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case55.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case41.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case41.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case96.txt,3,10,IP,20.0,0.2
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case96.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case82.txt,3,10,IP,30.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case82.txt,3,10,GA,30,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case198.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case198.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case173.txt,3,10,IP,23.0,0.15
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case173.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case167.txt,3,10,IP,27.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case167.txt,3,10,GA,27,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case166.txt,3,10,IP,29.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case166.txt,3,10,GA,29,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case172.txt,3,10,IP,19.0,0.28
